prijem,mesicni,rocni,,vydaje,dluh,mesicni platba,,Investice vydaje,,,souhrn,,rocni,,,realita,goal,,predikce,poznamky,Asset change,Asset Goal,Asset  prediction,,pasivni CF,pasivni prijem,Investment/income,Prijem,Vydaje,Investment,CashFlow
cista mzda moje,"127,000.00 Kč","1,524,000.00 Kč",,hypotéka ,"1,524,840.00 Kč","6,400.00 Kč",,akcie,"6,000.00 Kč",,prijem,"127,000.00 Kč","1,524,000.00 Kč",,1/2022,"12,400.00 Kč","12,400.00 Kč",,"12,400.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"92,000.00 Kč",,"3,128.00 Kč","3,128.00 Kč"
cestovni náhrady,,0.00 Kč,,hypotéka ,"4,998,500.00 Kč","21,500.00 Kč",,sporici ucet,"60,000.00 Kč",,pasivní prijem,872.34 Kč,"10,468.13 Kč",,2/2022,"14,800.00 Kč","14,800.00 Kč",,"14,800.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"61,500.00 Kč",,"2,091.00 Kč","2,400.00 Kč"
,,0.00 Kč,,mobil,,550.00 Kč,,spořící účet reinvest,872.34 Kč,,celkový příjem ,"127,872.34 Kč","1,534,468.13 Kč","$74,450.43",3/2022,"17,200.00 Kč","17,200.00 Kč",,"17,200.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"63,000.00 Kč",,"2,142.00 Kč","2,400.00 Kč"
,,0.00 Kč,,benzin,,"5,000.00 Kč",,bitcoin,"5,000.00 Kč",,vydaje,"75,913.00 Kč","910,956.00 Kč",,4/2022,"19,600.00 Kč","19,600.00 Kč",,"19,600.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"72,000.00 Kč",,"2,448.00 Kč","2,400.00 Kč"
pasivní prijem,,,,voda,,"1,000.00 Kč",,spořící účet ,"-15,000.00 Kč",,investice,"56,872.34 Kč","682,468.13 Kč",,5/2022,"22,000.00 Kč","22,000.00 Kč",,"22,000.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"61,000.00 Kč",,"2,074.00 Kč","2,400.00 Kč"
sporici ucet ,872.34 Kč,"10,468.13 Kč",,jídlo ,,"3,500.00 Kč",,,,,cash flow ,"51,959.34 Kč","623,512.13 Kč",,6/2022,"24,400.00 Kč","24,400.00 Kč",,"24,400.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"61,000.00 Kč",,"2,074.00 Kč","2,400.00 Kč"
,,0.00 Kč,,oblečení ,,800.00 Kč,,,,,Free Cash,"-4,913.00 Kč","-58,956.00 Kč",,7/2022,"26,800.00 Kč","26,800.00 Kč",,"26,800.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"61,000.00 Kč",,"2,074.00 Kč","2,400.00 Kč"
,,0.00 Kč,,dárky ,,"1,000.00 Kč",,,,,,,,,8/2022,"29,200.00 Kč","29,200.00 Kč",,"29,200.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"115,000.00 Kč",,"3,910.00 Kč","2,400.00 Kč"
,,0.00 Kč,,eon,,"6,720.00 Kč",,,,,pasivní cash flow ,"-75,040.66 Kč","-900,487.87 Kč",,9/2022,"31,600.00 Kč","31,600.00 Kč",,"31,600.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"61,000.00 Kč",,"2,074.00 Kč","2,400.00 Kč"
,,0.00 Kč,,pojistka,,910.00 Kč,,,,,BTC to USD,"$66,325.78",,,10/2022,"34,000.00 Kč","34,000.00 Kč",,"34,000.00 Kč",,"2,600.00 Kč","2,600.00 Kč","2,600.00 Kč",,"-44,371.00 Kč",0.00 Kč,3.40%,"58,500.00 Kč",,"1,989.00 Kč","2,400.00 Kč"
